none
none
none
"d" "b" 1;
"a" "g" "t" 1; "b" "g" 1; "d" "b" "m" 1; "e" "p" 1;
"a" "t" 1; "b" "h" "l" 1; "d" "b" "m" 1; "e" "n" "p" "w" 1;
"a" "t" 1; "b" "h" "l" 1; "d" "b" "m" 1; "e" "n" "p" "w" 1;
"a" "a" "h" 1; "b" "a" 1; "c" "y" 1; "d" "w" 2; "e" "d" "h" 1;
"a" "a" "d" "h" 1; "b" "e" 2; "c" "l" 2; "d" "a" "g" "t" 1; "e" "d" "h" "y" 1;
"a" "a" "h" "t" 1; "b" "a" "l" "z" 1; "c" "l" "y" 2; "d" "a" "t" 1; "e" "h" "t" "v" "y" 1;
"a" "g" "s" 1; "c" "l" 1; "d" "o" "t" "v" 1; "e" "v" 2;
"a" "g" "s" "t" 1; "c" "l" 1; "d" "o" "t" "v" 1; "e" "v" 3;
"a" "g" "s" "t" 1; "b" "o" 1; "c" "l" 1; "d" "o" "t" "v" 1; "e" "v" 3;
"a" "g" "j" "s" "t" "z" 1; "b" "o" 2; "c" "l" 1; "d" "j" "o" "t" "v" 1; "e" "v" 3;
"a" "g" "j" "s" "t" "z" 1; "b" "o" 3; "c" "l" "m" 1; "d" "j" "l" "o" "t" "v" "y" 1; "e" "v" 3;
"a" "b" 3; "b" "l" "o" "t" 2; "c" "l" "v" 2; "d" "t" "v" 2; "e" "s" "y" 3;
"a" "b" 3; "b" "l" "o" "t" 2; "c" "l" "v" 2; "d" "t" "v" 2; "e" "s" "y" 3;
"a" "b" 4; "b" "l" "t" 2; "c" "l" "v" 2; "d" "t" "v" 2; "e" "y" 4;
"a" "b" 4; "b" "t" 3; "c" "l" "v" 2; "d" "j" "t" "v" 2; "e" "y" 4;
"a" "b" 4; "b" "l" "t" 3; "c" "j" "l" "v" 2; "d" "h" "j" "l" "t" "v" "y" 2; "e" "y" 4;
"a" "b" 4; "b" "j" "l" 2; "c" "j" "l" "v" 2; "d" "h" 3; "e" "s" 4;
"a" "b" 4; "b" "j" "l" 2; "c" "v" 3; "d" "h" 3; "e" "s" 4;
"a" "b" 4; "b" "j" "l" 2; "c" "v" 4; "d" "h" 3; "e" "s" 4;
"a" "b" 4; "b" "j" "l" 2; "c" "v" 4; "d" "h" 3; "e" "s" 4;
"a" "b" 4; "b" "j" "l" 2; "c" "v" 4; "d" "h" 3; "e" "s" 4;
"a" "b" 3; "b" "j" "q" 1; "c" "j" "l" 2; "d" "b" "j" "l" "y" 2; "e" "s" 4;
"a" "b" 3; "b" "j" "l" "q" 1; "c" "j" "l" 2; "d" "b" "j" "l" "y" 2; "e" "s" 4;
"a" "b" "m" 2; "b" "j" "l" 1; "c" "j" "l" 2; "d" "y" 2; "e" "b" "s" 3;
"a" "b" "m" 2; "b" "d" "j" "l" 1; "c" "j" "l" 2; "d" "y" 2; "e" "b" "s" 3;
"a" "b" "m" 2; "b" "d" "j" "l" 1; "c" "j" "l" 2; "d" "y" 2; "e" "b" "s" 3;
"a" "b" "m" 2; "b" "d" "j" "l" 1; "c" "j" "l" 2; "d" "y" 3; "e" "b" "s" 3;
"a" "b" "m" 2; "b" "d" "j" "l" 1; "c" "j" "l" 2; "d" "y" 3; "e" "b" "s" 3;
"a" "m" 3; "b" "d" "f" "l" "y" 1; "c" "j" "l" 2; "d" "y" 3; "e" "y" 2;
"a" "m" "n" 2; "b" "h" "k" "l" 2; "c" "g" "j" "l" 2; "d" "y" 3; "e" "y" 2;
"a" "m" "n" 2; "b" "k" "l" 2; "c" "g" "j" "l" 2; "d" "y" 3; "e" "m" "y" 2;
"a" "m" "n" 2; "b" "k" "l" 2; "c" "g" "j" "l" "m" 2; "d" "y" 3; "e" "m" "y" 2;
"a" "m" "n" 2; "b" "k" "l" 2; "c" "g" "j" "l" "m" 2; "d" "y" 3; "e" "m" "y" 2;
"a" "m" "n" 2; "b" "k" "l" 2; "c" "g" "j" "l" "m" 2; "d" "y" 3; "e" "m" "y" 2;
"a" "m" "n" 2; "b" "k" 3; "c" "g" "j" "l" "m" 2; "d" "y" 3; "e" "m" "y" 2;
"a" "m" "n" 2; "b" "k" 3; "c" "l" 3; "d" "y" 3; "e" "m" "y" 2;
"a" "m" "n" 2; "b" "k" 3; "c" "l" 3; "d" "y" 3; "e" "m" "y" 2;
"a" "m" "n" 2; "b" "k" 3; "c" "l" 3; "d" "y" 3; "e" "m" "y" 2;
"a" "m" "n" 2; "b" "k" 3; "c" "l" 3; "d" "y" 3; "e" "m" "y" 2;
"a" "m" "n" 2; "b" "k" 3; "c" "l" 3; "d" "l" "n" "y" 2; "e" "m" "y" 3;
"a" "m" "n" 2; "b" "k" 3; "c" "l" 3; "d" "l" "n" "y" 2; "e" "y" 4;
"a" "m" 2; "b" "k" 3; "c" "l" 3; "d" "m" "n" "y" 2; "e" "y" 4;
"a" "m" 2; "b" "h" "v" "y" 2; "c" "l" 4; "d" "m" "y" 2; "e" "y" 4;
"a" "m" 2; "b" "h" "l" "v" "y" 2; "c" "l" 4; "d" "l" "m" "s" "y" 2; "e" "y" 4;
"a" "m" 2; "b" "h" "l" "v" "y" 2; "c" "l" 4; "d" "l" "m" "s" "v" "y" 2; "e" "y" 4;
"a" "m" 2; "b" "h" "l" "v" "y" 2; "c" "l" 4; "d" "l" "m" "s" "v" "y" 2; "e" "n" "y" 4;
"a" "m" 2; "b" "h" "s" 2; "c" "j" 3; "d" "s" "v" 2; "e" "e" "n" 3;
"a" "j" "m" 2; "b" "h" "s" 2; "c" "j" 3; "d" "j" "s" "v" 2; "e" "e" "n" 3;
"a" "j" "m" 2; "b" "s" 3; "c" "j" 3; "d" "j" "s" "v" 2; "e" "e" "n" 3;
"a" "j" "m" 2; "b" "s" 3; "c" "j" 3; "d" "j" "s" "v" 2; "e" "e" "n" 3;
"a" "j" "m" 2; "b" "s" 3; "c" "j" "v" 3; "d" "j" "n" "s" "v" 2; "e" "e" "n" 3;
"a" "j" "m" 2; "b" "s" 3; "c" "j" "v" 3; "d" "j" "m" "n" "s" "v" 2; "e" "e" "n" 3;
"a" "j" "m" 2; "b" "s" 3; "c" "j" "v" 3; "d" "j" "m" "n" "s" "v" 2; "e" "e" "n" 3;
"a" "j" 2; "b" "h" "s" 2; "c" "v" 3; "d" "b" "j" "s" "v" 2; "e" "e" 4;
"a" "h" "j" 2; "b" "h" "s" 2; "c" "v" 3; "d" "b" "j" "s" "v" 2; "e" "e" 4;
"a" "h" "j" 2; "b" "h" "s" 2; "c" "v" 3; "d" "b" "j" "s" "v" 2; "e" "e" 4;
"a" "h" "j" 2; "b" "h" "s" 2; "c" "v" 3; "d" "b" "j" "s" "v" 2; "e" "e" 4;
"a" "h" "j" 2; "b" "s" 3; "c" "v" 3; "d" "b" "j" "s" "v" 2; "e" "e" 4;
"a" "h" "j" "y" 2; "b" "h" "s" 3; "c" "v" 3; "d" "b" "j" "s" "v" 2; "e" "e" 4;
"a" "h" "j" "y" 2; "b" "h" "s" 3; "c" "v" 3; "d" "j" "v" 3; "e" "e" 4;
"a" "h" "j" "r" "t" "y" 1; "b" "s" 3; "c" "e" "j" 2; "d" "j" "t" 3; "e" "e" "h" 3;
"a" "h" "j" "r" "t" "y" 1; "b" "s" 3; "c" "e" "j" 2; "d" "j" "t" 3; "e" "h" 3;
"a" "h" "j" "r" "t" "y" 1; "b" "s" 3; "c" "e" "j" 2; "d" "j" "t" 3; "e" "e" "h" 3;
"a" "h" "j" "r" "t" "y" 1; "b" "s" 3; "c" "e" "j" 2; "d" "j" "s" "t" 3; "e" "e" "h" 3;
"a" "h" 2; "b" "s" 3; "c" "j" 3; "d" "j" "s" "t" 3; "e" "e" "h" 3;
"a" "h" 2; "b" "s" 3; "c" "j" 3; "d" "j" "s" "t" 3; "e" "e" "h" 3;
"a" "h" "j" 2; "b" "s" 3; "c" "j" 3; "d" "j" "s" "t" 3; "e" "e" "h" 3;
"a" "j" 3; "b" "q" 4; "c" "j" 3; "d" "j" 4; "e" "e" "h" 3;
"a" "j" 2; "b" "q" 4; "c" "j" 3; "d" "j" "s" 4; "e" "h" 3;
"a" "j" "y" 2; "b" "q" 4; "c" "j" 4; "d" "j" "s" 4; "e" "h" 3;
"a" "y" 1; "b" "s" 2; "c" "d" "o" "s" "x" 1; "d" "s" 3; "e" "d" "r" "s" "y" 1;
"a" "y" 2; "b" "s" 2; "c" "z" 2; "d" "s" 3; "e" "r" "s" 2;
"a" "d" "y" 2; "b" "s" 2; "c" "o" "z" 2; "d" "s" 3; "e" "r" "s" 2;
"a" "d" "y" 2; "b" "s" 2; "c" "o" "z" 2; "d" "s" 3; "e" "r" "s" 2;
"a" "d" "y" 2; "b" "s" 2; "c" "o" "z" 2; "d" "s" 3; "e" "r" "s" 2;
"a" "d" "y" 2; "b" "s" 2; "c" "o" "z" 2; "d" "s" 3; "e" "r" "s" 2;
"a" "d" "y" 2; "b" "s" 2; "c" "o" "z" 2; "d" "s" 3; "e" "r" "s" 2;
"a" "y" 2; "b" "s" 2; "c" "o" 2; "d" "s" 3; "e" "r" "y" 2;
"a" "y" 2; "b" "s" 2; "c" "o" 2; "d" "s" 3; "e" "r" "y" 2;
"a" "r" 1; "b" "c" "g" "p" "x" 1; "c" "x" 2; "d" "g" "w" 1; "e" "o" 2;
"a" "r" 1; "b" "c" 2; "c" "x" 2; "d" "g" "r" "w" 1; "e" "o" 3;
"a" "c" "r" 1; "b" "c" 2; "c" "x" 2; "d" "g" "r" "w" 1; "e" "o" 3;
"a" "c" "r" 1; "b" "c" 2; "c" "x" 2; "d" "g" "r" "w" 1; "e" "o" 3;
"a" "c" "g" "r" 1; "b" "c" 2; "c" "s" 3; "d" "g" "r" "w" 1; "e" "o" 3;
"a" "c" "g" "r" "s" 1; "b" "c" 2; "c" "s" 3; "d" "g" "r" "w" 1; "e" "o" 3;
"a" "b" "c" "e" "k" "r" 1; "b" "c" "x" 2; "c" "x" 2; "d" "r" 2; "e" "o" 2;
"a" "b" "c" "d" "k" "o" "r" 1; "b" "c" "w" "x" 2; "c" "x" 2; "d" "r" 2; "e" "o" 2;
"a" "b" "c" "d" "k" "o" "p" "r" 1; "b" "c" "w" "x" 2; "c" "x" 3; "d" "r" 3; "e" "o" 2;
"a" "c" 2; "b" "x" 3; "c" "x" 4; "d" "o" "r" 2; "e" "b" "o" 2;
"a" "c" 2; "b" "x" 3; "c" "x" 3; "d" "o" "r" 2; "e" "b" "o" 2;
"a" "c" "o" "r" 2; "b" "c" 2; "c" "c" "d" "e" "h" "o" "r" "w" "y" 1; "d" "o" "r" 2; "e" "b" 2;
"a" "c" "o" "r" 2; "b" "c" 2; "c" "d" "w" 2; "d" "g" "o" "r" 2; "e" "b" 2;
"a" "c" "o" "q" "r" 2; "b" "c" 2; "c" "d" "w" 2; "d" "g" "o" "r" 2; "e" "b" 4;
"a" "q" 3; "b" "c" 2; "c" "r" 2; "d" "c" "g" "r" "w" 2; "e" "b" 4;
"a" "q" 3; "b" "c" 2; "c" "r" 2; "d" "c" "g" "r" "w" 2; "e" "b" 4;
"a" "c" 2; "b" "c" "r" "s" 2; "c" "w" 3; "d" "r" 3; "e" "b" 3;
"a" "a" "c" 2; "b" "c" "h" "r" "s" "v" "z" 2; "c" "w" 3; "d" "r" 3; "e" "b" 3;
"a" "a" "c" "y" 2; "b" "c" "h" "r" "s" "v" "z" 2; "c" "w" 3; "d" "r" 3; "e" "b" 3;
"a" "a" "c" "y" 2; "b" "c" "h" "r" "s" "v" "z" 2; "c" "w" 3; "d" "r" 3; "e" "b" 3;
"a" "y" 3; "b" "c" "d" "h" "r" "s" "v" "z" 2; "c" "s" 3; "d" "d" "r" 3; "e" "b" "h" "r" 2;
"a" "y" 3; "b" "r" "v" 3; "c" "s" 3; "d" "d" "r" 3; "e" "b" "h" "r" 2;
"a" "y" 3; "b" "r" "v" 3; "c" "s" 3; "d" "d" "r" 3; "e" "b" "h" "r" "z" 2;
"a" "y" 4; "b" "b" "r" "s" "v" 3; "c" "s" 3; "d" "y" 4; "e" "r" 3;
"a" "n" 3; "b" "m" "s" 3; "c" "s" 3; "d" "d" "q" "r" 3; "e" "r" 4;
"a" "n" 3; "b" "v" 3; "c" "d" "r" 2; "d" "d" "r" 3; "e" "r" 3;
"a" "n" 3; "b" "d" "v" 3; "c" "b" "d" "r" 2; "d" "r" 4; "e" "r" 3;
"a" "n" 3; "b" "d" "v" 3; "c" "b" "d" "r" 2; "d" "r" 4; "e" "r" 3;
"a" "n" 3; "b" "d" 4; "c" "b" "d" "k" "r" "t" 2; "d" "r" 4; "e" "r" 3;
"a" "n" 3; "b" "d" 4; "c" "r" 3; "d" "r" 4; "e" "r" 3;
"a" "h" "n" "r" 3; "b" "d" "v" 3; "c" "r" 3; "d" "r" 4; "e" "h" "r" 3;
"a" "r" 4; "b" "d" "q" "u" "v" 2; "c" "l" 3; "d" "d" 4; "e" "h" "r" 3;
"a" "r" 4; "b" "d" "q" "u" "v" 2; "c" "l" 3; "d" "d" 4; "e" "h" "r" 3;
"a" "r" 4; "b" "v" 2; "c" "l" 3; "d" "d" 4; "e" "h" "r" 3;
"a" "r" 4; "b" "v" 3; "c" "l" 3; "d" "d" 4; "e" "h" "r" 3;
"a" "r" 4; "b" "v" 3; "c" "b" "d" "h" "k" "t" "v" 2; "d" "d" "h" 4; "e" "h" "r" 3;
"a" "r" 4; "b" "v" 3; "c" "b" "d" "h" "k" "t" "v" 2; "d" "d" "h" 4; "e" "h" "r" 3;
"a" "r" 4; "b" "v" 3; "c" "b" "d" "h" "k" "t" "v" 2; "d" "d" "h" 4; "e" "h" "r" 3;
"a" "r" 4; "b" "v" 3; "c" "b" "d" "h" "k" "t" "v" 2; "d" "d" "h" 4; "e" "h" "r" 3;
"a" "r" 4; "b" "v" 3; "c" "b" 3; "d" "d" "h" 4; "e" "h" "r" 3;
"a" "r" 3; "b" "a" "r" "v" 2; "c" "b" 3; "d" "d" 3; "e" "b" "k" "r" 2;
"a" "r" 3; "b" "a" "d" "p" "r" "v" 2; "c" "b" 3; "d" "d" 3; "e" "b" "k" "r" 2;
"a" "r" 3; "b" "a" "d" "k" "p" "r" "v" 2; "c" "q" 4; "d" "d" "q" 3; "e" "b" "k" "r" 2;
"a" "r" 3; "b" "a" "d" "k" "p" "r" "v" 2; "c" "q" 4; "d" "d" "q" 3; "e" "b" "k" "r" 2;
"a" "r" 3; "b" "a" "d" "k" "p" "r" "v" 2; "c" "q" 4; "d" "d" "q" 3; "e" "b" "k" "r" 2;
"a" "r" 2; "b" "k" 3; "c" "q" 4; "d" "q" 3; "e" "b" "k" 2;
"a" "b" 1; "b" "a" "c" "j" 1; "c" "q" 2; "d" "q" 2; "e" "a" 2;
"a" "b" 1; "b" "a" "c" "j" 1; "c" "q" 2; "d" "q" 2; "e" "a" 2;
"a" "b" 1; "b" "a" "c" "j" "t" 1; "c" "q" 2; "d" "q" 2; "e" "a" 2;
"a" "b" "e" "k" 1; "b" "j" 2; "c" "p" 3; "d" "q" 2; "e" "a" 2;
"a" "t" 2; "b" "j" "t" 2; "c" "p" 3; "d" "g" "j" "q" 2; "e" "a" "j" "p" "q" 2;
"a" "t" 2; "b" "j" "t" 2; "c" "p" 3; "d" "g" "j" "q" 2; "e" "a" "j" "p" 2;
"a" "t" 2; "b" "j" "t" 2; "c" "p" 3; "d" "g" "j" "q" 2; "e" "a" "j" "p" 2;
"a" "t" 2; "b" "a" "j" 2; "c" "p" 3; "d" "e" "j" "q" "y" 2; "e" "a" "j" "p" 2;
"a" "t" 2; "b" "a" "j" 2; "c" "p" 3; "d" "e" "j" "q" "t" "y" 2; "e" "p" 3;
"a" "b" "k" "t" 2; "b" "a" "j" 2; "c" "p" 3; "d" "d" "e" "j" "q" "t" "y" 2; "e" "p" 3;
